真实值,预测值
8.000000031664968,4.8472825940698385
7.000000091269612,2.7263706056401134
6.000000150874257,1.9768020408228038
11.000000301748514,2.3819315684959292
35.000001564621925,2.836884227581322
75.00000277161598,1.5777184888720512
64.00000342726707,-2.286461055278778
26.000000305473804,-1.2735723704099655
31.000000007450584,-0.9795193821191788
27.00000024586916,1.6145621985197067
16.00000000372529,4.017499640583992
17.000000841915607,7.224557016044855
25.00000036507845,11.055209305137396
36.00000150501728,15.034129738807678
27.00000024586916,20.43806714564562
21.00000060349703,28.22727159410715
30.000000067055225,24.98734325170517
31.000000007450584,3.221433825790882
28.000000186264515,18.034968100488186
10.000000361353159,29.85531861335039
3.000000105239451,38.43203827738762
2.0000000526197255,42.04128894209862
4.000000045634806,32.162208154797554
3.000000105239451,24.315657950937748
